author,message,timestamp
@quanphan4929,thiếu phức hợp r:)),1:45:20
@anluu6094,à mà cái búa băng với cái phức hợp nội tại nó khác nhau chỗ nào z mn,1:45:59
@quanphan4929,khác là búa băng 3s mới hồi còn phức hợp có 2s với phức hợp đánh tay còn búa băng tung chiêu là đc,1:46:41
@anluu6094,ai quát anh chín kìa ,1:47:16
@quanphan4929,có chứ anh:)),1:47:26
@Hieu-HighLigh0,phức hợp mạnh lắm ,1:47:30
@annastasianguyen1488,zata nay dễ chơi lắm a,1:47:51
@quanphan4929,phức hợp tăng tận mấy trăm dam nội tại ý:)),1:47:52
@ThiệnTríLê-i7v,quang hải với kaisa luon kìa chiến :)))),1:48:12
@quanphan4929,ui ng ta để ý dam sát thương chuẩn chứ anh:)),1:48:30
@quanphan4929,ai để ý sát thương vật lí kèm thêm đâu:)),1:48:44
@SakaiYukata,chặt máu giấy thì vẫn phức hợp th,1:49:14
@quanphan4929,thorne:)),1:49:35
@quanphan4929,zata bay chít trong trụ này:)),1:50:05
@anluu6094,nhìn con ryo nó lên phức hợp là biết nó mạnh ntn  full dmg 1 c2 c3 nt bay màu ,1:50:30
@SakaiYukata,ryo có xuyên giáp,1:51:36
@SakaiYukata,airi ko lên xg,1:51:43
@huongphan-fz7kk,trận nào bên địch mỏng thì nên phức thui,1:51:52
@MrNhan-qt8jr,:)),1:55:50
@annastasianguyen1488,ad đc chăm sóc đặc biệt =))),1:56:07
@quanphan4929,:)))),1:56:09
@quanphan4929,2-4 r anh Chiến:)),1:56:32
@quangthinhnguyeno4357,trâu quá e,1:57:02
@quanphan4929,r luôn:),1:57:24
@SakaiYukata,3-6-3 là đẹp này,1:57:50
@quanphan4929,giả vờ làm điệp viên và cái kết:)),1:57:58
@quanphan4929,hết thuốc cà rốt r:)),1:58:55
@quanphan4929,3-6-3 thật r:)),1:59:07
@quanphan4929,marja thì 0-3-6:)),1:59:29
@annastasianguyen1488,hyt cx hay,2:01:38
@nghia69420,:))))),2:02:15
@nghia69420,thằng npc kia m chưa tày đâu,2:02:45
@quanphan4929,:))),2:02:45
@taquagaming5002,=)))))))))),2:02:56
@linhanh-t8i5t,dnt đúng trẻ trâu:)),2:02:57
@taquagaming5002,lậy bố,2:03:06
@quanphan4929,may chx bằng cả ngày như bên yiwei:)),2:03:24
@dellcovideo3756,ad câu kéo,2:04:12
@Hieu-HighLigh0,con slim này may còn chưa giống bopbop,2:04:34
@SakaiYukata,scale ulti nó đẩy lên kinh lắm a,2:05:15
@dellcovideo3756,có kìa a,2:05:21
@quanphan4929,làm tí zata rừng anh nhẻ:))),2:05:44
@DongCu,Sất trong tay adc lạ lắm,2:05:54
@quanphan4929,khổ quá pick đi:)),2:07:13
@phuquynguyen9987,alo,2:08:03
@phuquynguyen9987,sao trên máy tính k chat dc nhỉ,2:08:27
@quanphan4929,1 vấn đề là ai đục tarra,2:08:38
@annastasianguyen1488,lướt c3 trúng hướng c2 là bay a,2:08:41
@quanphan4929,2 năm r:)),2:08:45
@ducanhcn1606,đánh dc vài lần lúc nó mới ra =)),2:08:56
@quanphan4929,đr ko bị gãy,2:09:22
@SakaiYukata,lướt vào chiêu ,2:09:36
@quanphan4929,2 nội tại cũng bay đc:)),2:09:37
